Duddingston Road West 29 - 41 & 24 -92	1502282/duddingston-road-west-29-41-24-92	friday-2
Ferry Road 3 - 243 & 28 - 530	1503226/ferry-road-3-243-28-530	tuesday-2
Gilmour Road 1 - 10	1503360/gilmour-road-1-10	tuesday-2
Gilmour Road 11 - 53	1503361/gilmour-road-11-53	thursday-2
Gorgie Road 190 & 206	1503433/gorgie-road-190-206	tuesday-1
Gracemount Drive 2 & 20	1503438/gracemount-drive-2-20	thursday-1
Granby Road 1 - 5A	1503444/granby-road-1-5a	tuesday-2
Granby Road 5B - 52	1503445/granby-road-5b-52	thursday-2
Howden Hall Road 1 - 10	1503743/howden-hall-road-1-10	thursday-2
Howden Hall Road 12 - 80	1503744/howden-hall-road-12-80	thursday-1
Joppa Road 1 - 109	1503832/joppa-road-1-109	friday-2
Loaning Crescent 1 - 7 & 29 - 35	1504041/loaning-crescent-1-7-29-35	wednesday-2
Loaning Crescent 9 - 27	1504042/loaning-crescent-9-27	wednesday-1
Minto Street 1 - 30	1504291/minto-street-1-30	wednesday-1
Minto Street 31 - 51	1504292/minto-street-31-51	tuesday-2
Newington Road 0Nly 76 & 86	1504456/newington-road-0nly-76-86	tuesday-2
Old Church Lane 3 & 5	1504572/old-church-lane-3-5	friday-2
Pilton Avenue 213 - 363 & 100 - 206	1504753/pilton-avenue-213-363-100-206	tuesday-1
Pilton Avenue 5 - 211 & 2 - 98	1504754/pilton-avenue-5-211-2-98	tuesday-2
Queensferry Road Eh4, 5 -195 & 84 - 236	1504856/queensferry-road-eh4-5-195-84-236	friday-2
Woodhall Road 154 â€“ 184	1506294/woodhall-road-154-184	wednesday-1a
A70--Glenbrook Rd To B7031	1506108/a70-glenbrook-rd-to-b7031	wednesday-1
C157 - Kirkliston To Burnshot	1502958/c157-kirkliston-to-burnshot	thursday-1
